pc,label,kind,dptr,instruction
50C5,L50C0,write_indirect_r0,,"MOVX @R0,A"
50D1,L50D1,write_indirect_r0,,"MOVX @R0,A"
50DC,L50DC,write_indirect_r0,,"MOVX @R0,A"
50E8,L50E8,write_indirect_r0,,"MOVX @R0,A"
50F3,L50F3,write_indirect_r0,,"MOVX @R0,A"
50FE,L50FE,write_indirect_r0,,"MOVX @R0,A"
5109,L5109,write_indirect_r0,,"MOVX @R0,A"
5114,L5114,write_indirect_r0,,"MOVX @R0,A"
511F,L511F,write_indirect_r0,,"MOVX @R0,A"
512A,L512A,write_indirect_r0,,"MOVX @R0,A"
5135,L5135,write_indirect_r0,,"MOVX @R0,A"
5142,L5142,write_indirect_r0,,"MOVX @R0,A"
514D,L514D,write_indirect_r0,,"MOVX @R0,A"
5158,L5158,write_indirect_r0,,"MOVX @R0,A"
5163,L5163,write_indirect_r0,,"MOVX @R0,A"
516E,L516E,write_indirect_r0,,"MOVX @R0,A"
5179,L5179,write_indirect_r0,,"MOVX @R0,A"
5184,L5184,write_indirect_r0,,"MOVX @R0,A"
52BC,L52B6,read,2199,"MOVX A,@DPTR"
52C5,L52B6,read,21B9,"MOVX A,@DPTR"
53BF,L53AD,read,046B,"MOVX A,@DPTR"
53C7,L53AD,read,2190,"MOVX A,@DPTR"
53CD,L53AD,write,2191,"MOVX @DPTR,A"
54BC,L54B9,read,046E,"MOVX A,@DPTR"
54C3,L54B9,read,2198,"MOVX A,@DPTR"
54CA,L54B9,read,2197,"MOVX A,@DPTR"
54D7,L54D0,read,0474,"MOVX A,@DPTR"
54E0,L54D0,read,21E0,"MOVX A,@DPTR"
54F0,L54D0,read,2199,"MOVX A,@DPTR"
5514,L5510,write,2199,"MOVX @DPTR,A"
5529,L5524,write,21B9,"MOVX @DPTR,A"
5535,L552D,write,2197,"MOVX @DPTR,A"
5540,L5539,read,21B8,"MOVX A,@DPTR"
5553,L554E,write,2197,"MOVX @DPTR,A"
555F,L5557,write,2197,"MOVX @DPTR,A"
5571,L5571,read,2199,"MOVX A,@DPTR"
5592,L5590,read,21A0,"MOVX A,@DPTR"
5597,L5590,write,21A0,"MOVX @DPTR,A"
55A1,L55A0,write,21A0,"MOVX @DPTR,A"
55B4,L55B1,read,2199,"MOVX A,@DPTR"
55B8,L55B1,write,2199,"MOVX @DPTR,A"
55F1,L55F1,read,219A,"MOVX A,@DPTR"
55F5,L55F1,write,219A,"MOVX @DPTR,A"
5622,L561D,write,2241,"MOVX @DPTR,A"
5642,L5623,write,2240,"MOVX @DPTR,A"
5652,L564A,write,2240,"MOVX @DPTR,A"
5673,L566C,write,2241,"MOVX @DPTR,A"
56C7,L56B3,read,0464,"MOVX A,@DPTR"
56E1,L56D8,write,2257,"MOVX @DPTR,A"
56F8,L56F5,read,046C,"MOVX A,@DPTR"
5768,L5762,read,046B,"MOVX A,@DPTR"
578F,L5789,read,046B,"MOVX A,@DPTR"
57C6,L57C3,read,2190,"MOVX A,@DPTR"
57CC,L57C3,write,2191,"MOVX @DPTR,A"
5910,L58FD,write,2250,"MOVX @DPTR,A"
5914,L5911,read,0488,"MOVX A,@DPTR"
591B,L5911,read,046A,"MOVX A,@DPTR"
5956,L5948,read,218C,"MOVX A,@DPTR"
