flag,pc,label,op,target,line
24h.4,4E36,L4E30,SETB,,4E36:  D2 24     SETB 24h.4
24h.3,4E59,L4E57,SETB,,4E59:  D2 23     SETB 24h.3
24h.3,4E6F,L4E6D,SETB,,4E6F:  D2 23     SETB 24h.3
24h.4,4E7C,L4E76,SETB,,4E7C:  D2 24     SETB 24h.4
24h.3,4EDB,L4ED1,SETB,,4EDB:  D2 23     SETB 24h.3
24h.4,4F1B,L4F12,SETB,,4F1B:  D2 24     SETB 24h.4
23h.5,4F25,L4F1F,SETB,,4F25:  D2 1D     SETB 23h.5
24h.3,4F5B,L4F54,SETB,,4F5B:  D2 23     SETB 24h.3
24h.3,4F83,L4F72,SETB,,4F83:  D2 23     SETB 24h.3
24h.3,4F99,L4F72,CLR,,4F99:  C2 23     CLR 24h.3
24h.0,5287,L5287,SETB,,5287:  D2 20     SETB 24h.0
24h.3,536C,L5365,SETB,,536C:  D2 23     SETB 24h.3
24h.3,537C,L536E,SETB,,537C:  D2 23     SETB 24h.3
24h.3,538D,L5386,SETB,,538D:  D2 23     SETB 24h.3
24h.3,53A8,L53A4,SETB,,53A8:  D2 23     SETB 24h.3
24h.3,53D1,L53CE,SETB,,53D1:  D2 23     SETB 24h.3
24h.3,53EF,L53ED,SETB,,53EF:  D2 23     SETB 24h.3
24h.3,5405,L5403,SETB,,5405:  D2 23     SETB 24h.3
24h.3,5417,L5415,SETB,,5417:  D2 23     SETB 24h.3
24h.3,5442,L542D,SETB,,5442:  D2 23     SETB 24h.3
24h.3,5484,L5470,SETB,,5484:  D2 23     SETB 24h.3
24h.3,5662,L5660,SETB,,5662:  D2 23     SETB 24h.3
24h.4,5726,L5724,SETB,,5726:  D2 24     SETB 24h.4
24h.0,5730,L572B,SETB,,5730:  D2 20     SETB 24h.0
24h.3,57D2,L57C3,SETB,,57D2:  D2 23     SETB 24h.3
20h.3,585F,L585F,JB,L589A,"585F:  20 03 38  JB 20h.3,L589A"
24h.1,5862,L585F,JBC,L589D,"5862:  10 21 38  JBC 24h.1,L589D"
24h.2,5865,L585F,JBC,L58A0,"5865:  10 22 38  JBC 24h.2,L58A0"
20h.1,5868,L585F,JBC,L58A3,"5868:  10 01 38  JBC 20h.1,L58A3"
20h.2,586B,L585F,JB,L58A6,"586B:  20 02 38  JB 20h.2,L58A6"
25h.1,586E,L585F,JBC,L58A9,"586E:  10 29 38  JBC 25h.1,L58A9"
25h.0,5871,L585F,JBC,L58AC,"5871:  10 28 38  JBC 25h.0,L58AC"
24h.0,5877,L585F,JBC,L58AF,"5877:  10 20 35  JBC 24h.0,L58AF"
23h.6,587A,L585F,JBC,L58B2,"587A:  10 1E 35  JBC 23h.6,L58B2"
23h.7,587D,L587D,JBC,L58BB,"587D:  10 1F 3B  JBC 23h.7,L58BB"
2Eh.0,5880,L587D,JBC,L58D9,"5880:  10 70 56  JBC 2Eh.0,L58D9"
