pc,caller_label,mnemonic,target,instruction
348E,L348E,LJMP,L3578,LJMP L3578
3495,L3491,JNB,L349F,"JNB ACC.4,L349F"
349F,L349F,LJMP,L3578,LJMP L3578
34A5,L34A2,LCALL,L04AC,LCALL L04AC
34A8,L34A2,LJMP,L34BA,LJMP L34BA
34B1,L34AB,CJNE,L34CD,"CJNE A,#03h,L34CD"
34B7,L34AB,LCALL,L04AC,LCALL L04AC
34BA,L34BA,JNB,L34CD,"JNB 2Bh.1,L34CD"
34BD,L34BA,LCALL,L36FC,LCALL L36FC
34C1,L34BA,JNB,L34CD,"JNB ACC.0,L34CD"
34CD,L34CD,LJMP,L3578,LJMP L3578
34D3,L34D0,LCALL,L04AC,LCALL L04AC
34D6,L34D0,JB,L34FC,"JB 2Bh.1,L34FC"
34D9,L34D0,LCALL,L36D4,LCALL L36D4
34EA,L34D0,LJMP,L350F,LJMP L350F
34ED,L34D0,LJMP,L357B,LJMP L357B
34F0,L34D0,LJMP,L35A8,LJMP L35A8
34F3,L34D0,LJMP,L35CA,LJMP L35CA
34F6,L34D0,LJMP,L3649,LJMP L3649
34F9,L34D0,LJMP,L3674,LJMP L3674
34FC,L34FC,LCALL,L36C9,LCALL L36C9
3500,L34FC,JNB,L350C,"JNB ACC.0,L350C"
350C,L350C,LJMP,L3578,LJMP L3578
3510,L350F,JB,L3525,"JB ACC.1,L3525"
3513,L350F,JB,L3549,"JB ACC.0,L3549"
3516,L350F,JB,L356D,"JB ACC.2,L356D"
3519,L350F,LCALL,L3707,LCALL L3707
3522,L350F,LJMP,L3578,LJMP L3578
3529,L3525,JB,L353C,"JB ACC.5,L353C"
3539,L3525,LJMP,L3578,LJMP L3578
353C,L353C,LCALL,L3713,LCALL L3713
3546,L353C,LJMP,L3578,LJMP L3578
354D,L3549,JB,L3560,"JB ACC.5,L3560"
355D,L3549,LJMP,L3578,LJMP L3578
3560,L3560,LCALL,L3713,LCALL L3713
356A,L3560,LJMP,L3578,LJMP L3578
356D,L356D,LCALL,L372D,LCALL L372D
3578,L3578,LJMP,L585F,LJMP L585F
357C,L357B,JB,L3590,"JB ACC.1,L3590"
357F,L357B,JB,L359C,"JB ACC.0,L359C"
3582,L357B,JB,L356D,"JB ACC.2,L356D"
3585,L357B,LCALL,L3707,LCALL L3707
358E,L357B,SJMP,L3578,SJMP L3578
3590,L3590,LCALL,L3713,LCALL L3713
359A,L3590,SJMP,L3578,SJMP L3578
359C,L359C,LCALL,L3713,LCALL L3713
35A6,L359C,SJMP,L3578,SJMP L3578
35A9,L35A8,JB,L360F,"JB ACC.1,L360F"
35AC,L35A8,JB,L35D6,"JB ACC.0,L35D6"
35AF,L35A8,JB,L35BD,"JB ACC.2,L35BD"
35B2,L35A8,LCALL,L3707,LCALL L3707
35BB,L35A8,SJMP,L3578,SJMP L3578
35BD,L35BD,LCALL,L372D,LCALL L372D
35C8,L35BD,SJMP,L3578,SJMP L3578
35CB,L35CA,JB,L360F,"JB ACC.1,L360F"
35CE,L35CA,JB,L35D6,"JB ACC.0,L35D6"
35D1,L35CA,LCALL,L3707,LCALL L3707
35D4,L35CA,SJMP,L3578,SJMP L3578
35DA,L35D6,JB,L35EC,"JB ACC.5,L35EC"
35EA,L35D6,SJMP,L3578,SJMP L3578
35EC,L35EC,LCALL,L371A,LCALL L371A
35F3,L35EC,JB,L3605,"JB ACC.4,L3605"
35F6,L35EC,LCALL,L369F,LCALL L369F
35FA,L35EC,CJNE,L3600,"CJNE A,#0FFh,L3600"
35FD,L35EC,LJMP,L3605,LJMP L3605
3602,L3600,LJMP,L3607,LJMP L3607
360C,L3607,LJMP,L3578,LJMP L3578
3613,L360F,JB,L3626,"JB ACC.5,L3626"
3623,L360F,LJMP,L3578,LJMP L3578
3626,L3626,LCALL,L371A,LCALL L371A
362D,L3626,JB,L363F,"JB ACC.4,L363F"
3630,L3626,LCALL,L369F,LCALL L369F
3634,L3626,CJNE,L363A,"CJNE A,#0FFh,L363A"
3637,L3626,LJMP,L363F,LJMP L363F
363C,L363A,LJMP,L3641,LJMP L3641
3646,L3641,LJMP,L3578,LJMP L3578
364A,L3649,JB,L3665,"JB ACC.1,L3665"
364D,L3649,JB,L3653,"JB ACC.0,L3653"
3650,L3649,JB,L3665,"JB ACC.2,L3665"
3653,L3653,LCALL,L3707,LCALL L3707
3656,L3653,LCALL,L371A,LCALL L371A
3662,L3653,LJMP,L3578,LJMP L3578
3665,L3665,LCALL,L3713,LCALL L3713
3671,L3665,LJMP,L3578,LJMP L3578
3675,L3674,JB,L3690,"JB ACC.1,L3690"
3678,L3674,JB,L367E,"JB ACC.0,L367E"
367B,L3674,JB,L3690,"JB ACC.2,L3690"
367E,L367E,LCALL,L3707,LCALL L3707
3681,L367E,LCALL,L371A,LCALL L371A
368D,L367E,LJMP,L3578,LJMP L3578
3690,L3690,LCALL,L3713,LCALL L3713
369C,L3690,LJMP,L3578,LJMP L3578
36A9,L36A8,CJNE,L36AF,"CJNE A,#0FFh,L36AF"
36AC,L36A8,LJMP,L36C6,LJMP L36C6
36B2,L36AF,CJNE,L36BF,"CJNE A,B,L36BF"
36B7,L36AF,DJNZ,L36A8,"DJNZ R2,L36A8"
36C0,L36BF,DJNZ,L36BF,"DJNZ R2,L36BF"
36C3,L36BF,CJNE,L36A4,"CJNE R1,#10h,L36A4"
36D0,L36C9,LCALL,L3745,LCALL L3745
36DA,L36D4,JNB,L36E4,"JNB ACC.6,L36E4"
36E9,L36E4,LCALL,L3745,LCALL L3745
36EE,L36E4,CJNE,L36FB,"CJNE A,#0Eh,L36FB"
36F5,L36E4,JNB,L36FB,"JNB ACC.6,L36FB"
3703,L36FC,LCALL,L3745,LCALL L3745
370A,L3707,LCALL,L04B9,LCALL L04B9
371D,L371A,LCALL,L04AC,LCALL L04AC
3729,L371A,LCALL,L04DB,LCALL L04DB
3730,L372D,LCALL,L04B9,LCALL L04B9
374F,L3745,CJNE,L3783,"CJNE A,B,L3783"
375A,L3745,CJNE,L3760,"CJNE A,B,L3760"
375D,L3745,LJMP,L3769,LJMP L3769
3760,L3760,CJNE,L3783,"CJNE A,#0Ah,L3783"
3763,L3760,CJNE,L3783,"CJNE R3,#0Ah,L3783"
3771,L3769,CJNE,L3777,"CJNE A,B,L3777"
3774,L3769,LJMP,L377D,LJMP L377D
3777,L3777,CJNE,L3783,"CJNE A,03h,L3783"
377D,L377D,DJNZ,L3769,"DJNZ R2,L3769"
3787,L3787,JB,L3796,"JB PSW.1,L3796"
378A,L3787,JB,L37A7,"JB 20h.0,L37A7"
378D,L3787,JB,L37A7,"JB 25h.6,L37A7"
3790,L3787,JNB,L3796,"JNB 2Dh.5,L3796"
3793,L3787,JNB,L37A7,"JNB 2Ah.3,L37A7"
379C,L3796,CJNE,L37A2,"CJNE A,#06h,L37A2"
379F,L3796,LJMP,L37A7,LJMP L37A7
37A4,L37A2,LCALL,L5931,LCALL L5931
37A8,L37A8,JB,L37B7,"JB PSW.1,L37B7"
37AB,L37A8,JB,L37C8,"JB 20h.0,L37C8"
37AE,L37A8,JB,L37C8,"JB 25h.6,L37C8"
37B1,L37A8,JNB,L37B7,"JNB 2Dh.5,L37B7"
37B4,L37A8,JNB,L37C8,"JNB 2Ah.3,L37C8"
37BD,L37B7,CJNE,L37C3,"CJNE A,#01h,L37C3"
37C0,L37B7,LJMP,L37C8,LJMP L37C8
37C5,L37C3,LCALL,L5931,LCALL L5931
37CD,L37C9,JB,L37E1,"JB ACC.0,L37E1"
37D4,L37C9,JNB,L37DA,"JNB 2Ah.3,L37DA"
37D7,L37C9,LCALL,L5931,LCALL L5931
37DA,L37DA,JB,L37E1,"JB 2Dh.5,L37E1"
37E6,L37E2,JB,L37F2,"JB 25h.6,L37F2"
37E9,L37E2,JB,L37F2,"JB 20h.0,L37F2"
37EC,L37E2,JB,L37F2,"JB 2Dh.4,L37F2"
37EF,L37E2,LCALL,L593F,LCALL L593F
37F7,L37F3,JB,L3809,"JB 25h.6,L3809"
37FA,L37F3,JB,L3809,"JB 20h.0,L3809"
37FD,L37F3,JB,L3809,"JB 2Dh.4,L3809"
3800,L37F3,JNB,L3806,"JNB 2Dh.5,L3806"
3803,L37F3,JNB,L3809,"JNB 2Ah.3,L3809"
3806,L3806,LCALL,L5931,LCALL L5931
380F,L380A,LCALL,L38C1,LCALL L38C1
3812,L380A,CJNE,L383B,"CJNE A,#0FFh,L383B"
3815,L380A,JB,L3833,"JB 2Bh.2,L3833"
381C,L380A,JNB,L382A,"JNB ACC.4,L382A"
3825,L380A,JZ,L3833,JZ L3833
3827,L380A,LJMP,L383B,LJMP L383B
3830,L382A,CJNE,L383B,"CJNE A,#0Fh,L383B"
3833,L3833,LCALL,L3B84,LCALL L3B84
383D,L383B,LCALL,L0355,LCALL L0355
3848,L383B,LJMP,L3875,LJMP L3875
3851,L384B,LJMP,L3875,LJMP L3875
3858,L3854,JB,L3864,"JB ACC.4,L3864"
3861,L3854,LJMP,L3875,LJMP L3875
386C,L3864,LJMP,L3875,LJMP L3875
3883,L387A,SJMP,L3875,SJMP L3875
3889,L3885,JNB,L3890,"JNB ACC.7,L3890"
388E,L3885,SJMP,L3875,SJMP L3875
3896,L3892,JNB,L3890,"JNB ACC.6,L3890"
389B,L3892,SJMP,L3875,SJMP L3875
38A4,L389D,LJMP,L38AE,LJMP L38AE
38B2,L38AE,JNZ,L38BC,JNZ L38BC
38B4,L38AE,DJNZ,L38AE,"DJNZ R2,L38AE"
38B6,L38AE,LCALL,L384B,LCALL L384B
38B9,L38AE,JZ,L38BE,JZ L38BE
38C7,L38C1,JZ,L38EB,JZ L38EB
38C9,L38C1,JB,L38E4,"JB 29h.5,L38E4"
38CC,L38C1,JB,L38E4,"JB 2Bh.2,L38E4"
38D8,L38D4,LCALL,L03D3,LCALL L03D3
38E0,L38D4,JZ,L38E9,JZ L38E9
38E2,L38D4,DJNZ,L38D4,"DJNZ R2,L38D4"
38E6,L38E4,LJMP,L38EB,LJMP L38EB
38EC,L38EC,JNB,L38FC,"JNB 2Dh.0,L38FC"
38F5,L38EC,JZ,L38FC,JZ L38FC
38F9,L38EC,LJMP,L3915,LJMP L3915
38FC,L38FC,JNB,L390B,"JNB 29h.5,L390B"
3903,L38FC,JNB,L390B,"JNB ACC.0,L390B"
3908,L38FC,LJMP,L3915,LJMP L3915
3911,L390B,JZ,L3915,JZ L3915
3923,L391D,JZ,L3939,JZ L3939
392D,L391D,JZ,L3939,JZ L3939
3944,L393A,CJNE,L3947,"CJNE A,B,L3947"
3947,L3947,JNC,L394A,JNC L394A
394E,L394B,LCALL,L03D3,LCALL L03D3
395D,L3955,JZ,L397A,JZ L397A
3970,L3955,JZ,L397A,JZ L397A
3989,L397C,JZ,L398E,JZ L398E
398C,L397C,JNZ,L398F,JNZ L398F
3991,L3991,JB,L39BE,"JB 2Bh.2,L39BE"
39BA,L3991,LCALL,L0355,LCALL L0355
39CF,L39BE,LCALL,L0355,LCALL L0355
39D3,L39D3,JB,L39DF,"JB 2Bh.2,L39DF"
39D6,L39D3,LCALL,L3B20,LCALL L3B20
39DC,L39D3,LCALL,L3A6B,LCALL L3A6B
39E0,L39E0,LCALL,L03F3,LCALL L03F3
39F3,L39E0,LCALL,L49E6,LCALL L49E6
39F8,L39E0,LCALL,L0355,LCALL L0355
3A02,L39FC,JNZ,L3A12,JNZ L3A12
3A09,L39FC,JNB,L3A10,"JNB ACC.6,L3A10"
3A0D,L39FC,LJMP,L3A12,LJMP L3A12
3A29,L3A28,CJNE,L3A2F,"CJNE A,#20h,L3A2F"
3A2D,L3A28,DJNZ,L3A28,"DJNZ R2,L3A28"
3A33,L3A2F,CJNE,L3A38,"CJNE R2,#00h,L3A38"
3A38,L3A38,LCALL,L49E6,LCALL L49E6
3A3D,L3A38,LCALL,L0355,LCALL L0355
3A42,L3A42,JB,L3A48,"JB 2Bh.2,L3A48"
3A45,L3A42,LCALL,L3B39,LCALL L3B39
3A48,L3A48,LCALL,L384B,LCALL L384B
3A53,L3A48,JZ,L3A67,JZ L3A67
3A64,L3A48,LJMP,L3A6B,LJMP L3A6B
3A68,L3A67,LJMP,L3A6B,LJMP L3A6B
3A6E,L3A6D,JZ,L3A7E,JZ L3A7E
3A73,L3A70,CJNE,L3A78,"CJNE A,#0Ah,L3A78"
3A7C,L3A78,DJNZ,L3A70,"DJNZ R0,L3A70"
3A80,L3A7E,CJNE,L3A86,"CJNE R1,#71h,L3A86"
3A83,L3A7E,LJMP,L3AA6,LJMP L3AA6
3A86,L3A86,CJNE,L3A8D,"CJNE R1,#72h,L3A8D"
3A8A,L3A86,LJMP,L3AA6,LJMP L3AA6
3A8F,L3A8D,CJNE,L3A8D,"CJNE R1,#72h,L3A8D"
3A92,L3A8D,JNB,L3AA6,"JNB 2Bh.3,L3AA6"
3A9B,L3A8D,JNB,L3AA5,"JNB 29h.5,L3AA5"
3AA0,L3A8D,JNB,L3AA5,"JNB 29h.7,L3AA5"
3AA8,L3AA6,LCALL,L0355,LCALL L0355
3AB4,L3AB2,DJNZ,L3AB2,"DJNZ R0,L3AB2"
3AB8,L3AB2,CJNE,L3ABE,"CJNE R1,#71h,L3ABE"
3ABB,L3AB2,LJMP,L3AD0,LJMP L3AD0
3ABE,L3ABE,CJNE,L3AC5,"CJNE R1,#72h,L3AC5"
3AC2,L3ABE,LJMP,L3AD0,LJMP L3AD0
3AC7,L3AC5,CJNE,L3AC5,"CJNE R1,#72h,L3AC5"
3ACA,L3AC5,JB,L3AD0,"JB 29h.5,L3AD0"
3AD2,L3AD0,LCALL,L0355,LCALL L0355
3AE4,L3AE2,DJNZ,L3AE2,"DJNZ R2,L3AE2"
3AE6,L3AE2,LCALL,L3916,LCALL L3916
3AEE,L3AE2,LCALL,L0505,LCALL L0505
3AF3,L3AE2,LCALL,L0355,LCALL L0355
3B16,L3B10,SJMP,L3B04,SJMP L3B04
3B1E,L3B18,SJMP,L3B04,SJMP L3B04
3B28,L3B20,JNB,L3B2D,"JNB 29h.5,L3B2D"
3B2F,L3B2D,SJMP,L3B04,SJMP L3B04
3B37,L3B31,SJMP,L3B04,SJMP L3B04
3B44,L3B39,SJMP,L3B04,SJMP L3B04
3B4C,L3B46,SJMP,L3B04,SJMP L3B04
3B54,L3B4E,SJMP,L3B04,SJMP L3B04
