pc,caller_label,mnemonic,target,instruction
3D80,L3D7A,LJMP,L585F,LJMP L585F
3D83,L3D83,CJNE,L3D8C,"CJNE A,#29h,L3D8C"
3D86,L3D83,LCALL,L37C9,LCALL L37C9
3D89,L3D83,LJMP,L585F,LJMP L585F
3D8C,L3D8C,CJNE,L3D95,"CJNE A,#2Bh,L3D95"
3D8F,L3D8C,LCALL,L37E2,LCALL L37E2
3D92,L3D8C,LJMP,L585F,LJMP L585F
3D95,L3D95,CJNE,L3D9B,"CJNE A,#2Ah,L3D9B"
3D98,L3D95,LCALL,L37F3,LCALL L37F3
3D9B,L3D9B,CJNE,L3DB8,"CJNE A,#41h,L3DB8"
3DAD,L3D9B,LCALL,L391D,LCALL L391D
3DB0,L3D9B,JZ,L3DB8,JZ L3DB8
3DB5,L3D9B,LCALL,L3A6B,LCALL L3A6B
3DB8,L3DB8,LJMP,L585F,LJMP L585F
3DBD,L3DBB,CJNE,L3DC6,"CJNE A,#3Ch,L3DC6"
3DC0,L3DBB,LCALL,L4060,LCALL L4060
3DC3,L3DBB,LJMP,L585F,LJMP L585F
3DC6,L3DC6,CJNE,L3DD4,"CJNE A,#3Eh,L3DD4"
3DCE,L3DC6,LCALL,L4060,LCALL L4060
3DD1,L3DC6,LJMP,L585F,LJMP L585F
3DD4,L3DD4,CJNE,L3DE3,"CJNE A,#2Fh,L3DE3"
3DE3,L3DE3,SJMP,L3D9B,SJMP L3D9B
3DE7,L3DE5,CJNE,L3DFC,"CJNE A,#20h,L3DFC"
3DEE,L3DE5,LCALL,L4060,LCALL L4060
3DF9,L3DE5,LJMP,L585F,LJMP L585F
3DFC,L3DFC,CJNE,L3E07,"CJNE A,#22h,L3E07"
3E01,L3DFC,LCALL,L3C0F,LCALL L3C0F
3E04,L3DFC,LJMP,L3CC1,LJMP L3CC1
3E07,L3E07,CJNE,L3E12,"CJNE A,#21h,L3E12"
3E0C,L3E07,LCALL,L3C0F,LCALL L3C0F
3E0F,L3E07,LJMP,L3CC1,LJMP L3CC1
3E12,L3E12,CJNE,L3E1D,"CJNE A,#23h,L3E1D"
3E17,L3E12,LCALL,L3C0F,LCALL L3C0F
3E1A,L3E12,LJMP,L3CDF,LJMP L3CDF
3E1D,L3E1D,CJNE,L3E31,"CJNE A,#24h,L3E31"
3E28,L3E1D,LCALL,L0355,LCALL L0355
3E2E,L3E1D,LJMP,L585F,LJMP L585F
3E31,L3E31,CJNE,L3E3C,"CJNE A,#25h,L3E3C"
3E36,L3E31,LCALL,L3C0F,LCALL L3C0F
3E39,L3E31,LJMP,L3D05,LJMP L3D05
3E3C,L3E3C,CJNE,L3E48,"CJNE A,#3Eh,L3E48"
3E3F,L3E3C,LCALL,L3C0F,LCALL L3C0F
3E45,L3E3C,LJMP,L585F,LJMP L585F
3E48,L3E48,LJMP,L3D71,LJMP L3D71
3E4D,L3E4B,CJNE,L3E56,"CJNE A,#3Ch,L3E56"
3E50,L3E4B,LCALL,L4015,LCALL L4015
3E53,L3E4B,LJMP,L585F,LJMP L585F
3E56,L3E56,CJNE,L3E64,"CJNE A,#3Eh,L3E64"
3E5E,L3E56,LCALL,L4015,LCALL L4015
3E61,L3E56,LJMP,L585F,LJMP L585F
3E64,L3E64,CJNE,L3E77,"CJNE A,#2Fh,L3E77"
3E74,L3E64,LJMP,L585F,LJMP L585F
3E77,L3E77,CJNE,L3E89,"CJNE A,#22h,L3E89"
3E7E,L3E7C,LCALL,L4015,LCALL L4015
3E86,L3E7C,LJMP,L585F,LJMP L585F
3E89,L3E89,CJNE,L3E90,"CJNE A,#21h,L3E90"
3E8E,L3E89,SJMP,L3E7C,SJMP L3E7C
3E90,L3E90,CJNE,L3E96,"CJNE A,#24h,L3E96"
3E93,L3E90,LJMP,L3EE5,LJMP L3EE5
3E96,L3E96,CJNE,L3E9F,"CJNE A,#23h,L3E9F"
3E99,L3E96,LCALL,L408C,LCALL L408C
3E9C,L3E96,LJMP,L3EB0,LJMP L3EB0
3E9F,L3E9F,CJNE,L3EA5,"CJNE A,#3Dh,L3EA5"
3EA2,L3E9F,LJMP,L3EE5,LJMP L3EE5
3EA5,L3EA5,LJMP,L3D71,LJMP L3D71
3EAA,L3EA8,CJNE,L3EC3,"CJNE A,#23h,L3EC3"
3EB4,L3EB0,LCALL,L0355,LCALL L0355
3EC0,L3EB0,LJMP,L585F,LJMP L585F
3EC3,L3EC3,CJNE,L3EF6,"CJNE A,#24h,L3EF6"
3ECC,L3EC3,JZ,L3EE5,JZ L3EE5
3EE2,L3EC3,LJMP,L585F,LJMP L585F
3EEB,L3EE5,LCALL,L0355,LCALL L0355
3EF3,L3EE5,LJMP,L585F,LJMP L585F
3EF6,L3EF6,CJNE,L3F02,"CJNE A,#25h,L3F02"
3EF9,L3EF6,LCALL,L397C,LCALL L397C
3EFC,L3EF6,LCALL,L3A42,LCALL L3A42
3EFF,L3EF6,LJMP,L585F,LJMP L585F
3F02,L3F02,CJNE,L3F07,"CJNE A,#3Dh,L3F07"
3F05,L3F02,SJMP,L3EE5,SJMP L3EE5
3F07,L3F07,CJNE,L3F12,"CJNE A,#2Fh,L3F12"
3F0F,L3F07,LJMP,L585F,LJMP L585F
3F12,L3F12,LJMP,L3D71,LJMP L3D71
3F17,L3F15,CJNE,L3F22,"CJNE A,#2Fh,L3F22"
3F1F,L3F15,LJMP,L3DB8,LJMP L3DB8
3F22,L3F22,CJNE,L3F2A,"CJNE A,#3Dh,L3F2A"
3F25,L3F22,LCALL,L40BC,LCALL L40BC
3F28,L3F22,SJMP,L3EE5,SJMP L3EE5
3F2A,L3F2A,CJNE,L3F31,"CJNE A,#24h,L3F31"
3F2F,L3F2A,SJMP,L3EE5,SJMP L3EE5
3F31,L3F31,CJNE,L3F41,"CJNE A,#23h,L3F41"
3F3E,L3F31,LJMP,L585F,LJMP L585F
3F41,L3F41,LJMP,L3D71,LJMP L3D71
3F46,L3F44,CJNE,L3F4B,"CJNE A,#40h,L3F4B"
3F49,L3F44,SJMP,L3EE5,SJMP L3EE5
3F4B,L3F4B,CJNE,L3F5E,"CJNE A,#3Fh,L3F5E"
3F53,L3F4B,LCALL,L3A6B,LCALL L3A6B
3F5B,L3F4B,LJMP,L585F,LJMP L585F
3F5E,L3F5E,CJNE,L3F63,"CJNE A,#3Dh,L3F63"
3F61,L3F5E,SJMP,L3EE5,SJMP L3EE5
3F63,L3F63,CJNE,L3F6D,"CJNE A,#23h,L3F6D"
3F6A,L3F63,LJMP,L585F,LJMP L585F
3F6D,L3F6D,CJNE,L3F7A,"CJNE A,#24h,L3F7A"
3F77,L3F6D,LJMP,L3DB8,LJMP L3DB8
3F7A,L3F7A,CJNE,L3F86,"CJNE A,#29h,L3F86"
3F7D,L3F7A,LCALL,L37C9,LCALL L37C9
3F83,L3F7A,LJMP,L585F,LJMP L585F
3F86,L3F86,LJMP,L3D71,LJMP L3D71
3F8B,L3F89,CJNE,L3F9B,"CJNE A,#3Eh,L3F9B"
3F90,L3F89,LCALL,L0355,LCALL L0355
3F98,L3F89,LJMP,L585F,LJMP L585F
3F9B,L3F9B,CJNE,L3FA1,"CJNE A,#3Ch,L3FA1"
3F9E,L3F9B,LJMP,L3FA4,LJMP L3FA4
3FA1,L3FA1,CJNE,L3FBB,"CJNE A,#7Fh,L3FBB"
3FAA,L3FA4,JB,L3FB3,"JB ACC.0,L3FB3"
3FAD,L3FA4,LCALL,L3ADC,LCALL L3ADC
3FB0,L3FA4,LJMP,L585F,LJMP L585F
3FB8,L3FB3,LJMP,L585F,LJMP L585F
3FBB,L3FBB,CJNE,L3FC9,"CJNE A,#3Dh,L3FC9"
3FBE,L3FBE,LCALL,L380A,LCALL L380A
3FC6,L3FBE,LJMP,L585F,LJMP L585F
3FC9,L3FC9,CJNE,L3FD0,"CJNE A,#24h,L3FD0"
3FCE,L3FC9,SJMP,L3FBE,SJMP L3FBE
3FD0,L3FD0,CJNE,L3FE0,"CJNE A,#2Fh,L3FE0"
3FD3,L3FD0,JB,L3FD8,"JB 27h.3,L3FD8"
3FD6,L3FD0,SJMP,L3FA4,SJMP L3FA4
3FDD,L3FD8,LJMP,L585F,LJMP L585F
3FE0,L3FE0,CJNE,L3FEE,"CJNE A,#23h,L3FEE"
3FE8,L3FE0,LCALL,L3991,LCALL L3991
3FEB,L3FE0,LJMP,L585F,LJMP L585F
3FEE,L3FEE,LJMP,L3D71,LJMP L3D71
3FF3,L3FF1,CJNE,L4001,"CJNE A,#2Fh,L4001"
3FFE,L3FF1,LJMP,L585F,LJMP L585F
4001,L4001,LJMP,L3D71,LJMP L3D71
4006,L4004,CJNE,L4012,"CJNE A,#3Dh,L4012"
4009,L4004,JB,L400F,"JB 24h.5,L400F"
400C,L4004,LJMP,L3EE5,LJMP L3EE5
4012,L4012,LJMP,L585F,LJMP L585F
401B,L4015,JNB,L4029,"JNB ACC.0,L4029"
4024,L4015,CJNE,L4029,"CJNE A,#0Ah,L4029"
402F,L4029,JB,L4040,"JB 2Bh.5,L4040"
4034,L4029,JC,L404F,JC L404F
403A,L4029,LCALL,L4050,LCALL L4050
403D,L4029,LJMP,L404A,LJMP L404A
4042,L4040,JC,L404F,JC L404F
4047,L4040,LCALL,L4050,LCALL L4050
404C,L404A,LCALL,L0355,LCALL L0355
4050,L4050,CJNE,L4056,"CJNE @R1,#0Ch,L4056"
4057,L4056,CJNE,L405F,"CJNE @R1,#0Ah,L405F"
405A,L4056,JNB,L4053,"JNB ACC.0,L4053"
4066,L4065,CJNE,L406C,"CJNE R2,#0Ah,L406C"
4069,L4065,LJMP,L406F,LJMP L406F
406C,L406C,CJNE,L4074,"CJNE R2,#0Bh,L4074"
4071,L406F,LJMP,L4084,LJMP L4084
407B,L4074,LCALL,L03D6,LCALL L03D6
407F,L4074,CJNE,L4084,"CJNE A,#0FFh,L4084"
4082,L4074,SJMP,L4065,SJMP L4065
4088,L4084,LCALL,L0355,LCALL L0355
4094,L408C,LCALL,L3C05,LCALL L3C05
40A1,L409B,JB,L40AE,"JB ACC.0,L40AE"
40A4,L409B,JB,L40B5,"JB ACC.1,L40B5"
40A7,L409B,JB,L40B5,"JB ACC.2,L40B5"
40AA,L409B,JB,L40B5,"JB ACC.3,L40B5"
40B2,L40AE,LJMP,L40B6,LJMP L40B6
40C1,L40BC,JNB,L40C7,"JNB 2Ah.6,L40C7"
40C9,L40C7,LCALL,L0355,LCALL L0355
40CD,L40CD,LCALL,L4600,LCALL L4600
40D0,L40CD,LJMP,L21C9,LJMP L21C9
40D3,L40D3,JBC,L4102,"JBC 20h.7,L4102"
40D6,L40D3,JBC,L4157,"JBC 21h.4,L4157"
40D9,L40D3,JBC,L40CD,"JBC 20h.6,L40CD"
40DC,L40D3,JBC,L4108,"JBC 21h.1,L4108"
40DF,L40D3,JBC,L4113,"JBC 21h.2,L4113"
40E2,L40D3,JBC,L412E,"JBC 22h.3,L412E"
40FF,L40D3,LJMP,L585F,LJMP L585F
4102,L4102,LCALL,L468A,LCALL L468A
4105,L4102,LJMP,L21C9,LJMP L21C9
4108,L4108,LCALL,L4648,LCALL L4648
4110,L4108,LJMP,L21C9,LJMP L21C9
411D,L4113,JZ,L4128,JZ L4128
411F,L4113,LCALL,L45EB,LCALL L45EB
4125,L4113,LJMP,L21C9,LJMP L21C9
412B,L4128,LJMP,L41B8,LJMP L41B8
413C,L412E,JB,L414E,"JB ACC.5,L414E"
4142,L412E,LCALL,L453A,LCALL L453A
4148,L412E,LCALL,L4564,LCALL L4564
414B,L412E,LJMP,L21C9,LJMP L21C9
414E,L414E,LCALL,L4564,LCALL L4564
4154,L414E,LJMP,L21C9,LJMP L21C9
415A,L4157,LJMP,L41EB,LJMP L41EB
415D,L415D,JBC,L4193,"JBC 23h.4,L4193"
4160,L415D,JBC,L4187,"JBC 21h.4,L4187"
4163,L415D,JBC,L418A,"JBC 21h.2,L418A"
4166,L415D,JBC,L4193,"JBC 21h.3,L4193"
4169,L415D,JBC,L418D,"JBC 20h.6,L418D"
4184,L415D,LJMP,L585F,LJMP L585F
4187,L4187,LJMP,L41EB,LJMP L41EB
418A,L418A,LJMP,L4200,LJMP L4200
418D,L418D,LCALL,L4600,LCALL L4600
4190,L418D,LJMP,L21C9,LJMP L21C9
4193,L4193,JB,L41A5,"JB 28h.6,L41A5"
4196,L4193,LCALL,L452E,LCALL L452E
419C,L4193,LCALL,L453A,LCALL L453A
41A2,L4193,LJMP,L21C9,LJMP L21C9
41AD,L41A5,JZ,L41B8,JZ L41B8
41AF,L41A5,LCALL,L45EB,LCALL L45EB
41B5,L41A5,LJMP,L21C9,LJMP L21C9
41BE,L41B8,JNB,L41CF,"JNB 29h.5,L41CF"
41C9,L41B8,LCALL,L4921,LCALL L4921
41CC,L41B8,CJNE,L41FD,"CJNE R4,#0FFh,L41FD"
41D1,L41CF,LCALL,L4541,LCALL L4541
41E0,L41CF,JNB,L41FD,"JNB 29h.5,L41FD"
41E8,L41CF,LJMP,L21C9,LJMP L21C9
41F1,L41EB,LCALL,L034F,LCALL L034F
41FA,L41EB,LCALL,L4541,LCALL L4541
41FD,L41FD,LJMP,L21C9,LJMP L21C9
4200,L4200,LCALL,L5977,LCALL L5977
420D,L4200,JNB,L4215,"JNB 29h.5,L4215"
4215,L4215,LJMP,L21C9,LJMP L21C9
421A,L4218,LCALL,L47B0,LCALL L47B0
421D,L4218,LJMP,L21C9,LJMP L21C9
4220,L4220,LCALL,L45DF,LCALL L45DF
4223,L4220,LCALL,L5931,LCALL L5931
4229,L4220,LJMP,L21C9,LJMP L21C9
422C,L422C,LCALL,L4600,LCALL L4600
422F,L422C,LJMP,L21C9,LJMP L21C9
4232,L4232,JBC,L425A,"JBC 21h.6,L425A"
4235,L4232,JBC,L4263,"JBC 20h.7,L4263"
4238,L4232,JBC,L4279,"JBC 21h.1,L4279"
423B,L4232,JBC,L4270,"JBC 21h.4,L4270"
423E,L4232,JBC,L429F,"JBC 23h.2,L429F"
4241,L4232,JBC,L42B6,"JBC 23h.3,L42B6"
4244,L4232,JBC,L422C,"JBC 20h.6,L422C"
4247,L4232,JBC,L4218,"JBC 21h.7,L4218"
424A,L4232,JBC,L4220,"JBC 22h.0,L4220"
4257,L4232,LJMP,L585F,LJMP L585F
425A,L425A,LCALL,L467E,LCALL L467E
425D,L425A,JB,L428A,"JB 29h.5,L428A"
4260,L425A,LJMP,L21C9,LJMP L21C9
4267,L4263,LCALL,L034F,LCALL L034F
426D,L4263,LJMP,L21C9,LJMP L21C9
4270,L4270,JB,L428A,"JB 29h.5,L428A"
4276,L4270,LJMP,L21C9,LJMP L21C9
427B,L4279,LCALL,L034F,LCALL L034F
4287,L4279,LJMP,L21C9,LJMP L21C9
428E,L428A,LCALL,L034F,LCALL L034F
4291,L428A,LCALL,L48AB,LCALL L48AB
4299,L428A,LCALL,L034F,LCALL L034F
429C,L428A,LJMP,L21C9,LJMP L21C9
429F,L429F,LCALL,L4770,LCALL L4770
42A2,L429F,LCALL,L4712,LCALL L4712
42A7,L429F,LCALL,L5937,LCALL L5937
42AA,L429F,LCALL,L460F,LCALL L460F
42B0,L429F,LCALL,L453A,LCALL L453A
42B3,L429F,LJMP,L21C9,LJMP L21C9
42B6,L42B6,LCALL,L475D,LCALL L475D
42B9,L42B6,LCALL,L4712,LCALL L4712
42C2,L42B6,LJMP,L21C9,LJMP L21C9
42C5,L42C5,JBC,L42F3,"JBC 20h.7,L42F3"
42C8,L42C5,JBC,L4302,"JBC 21h.6,L4302"
42CB,L42C5,JBC,L4308,"JBC 20h.6,L4308"
42CE,L42C5,JBC,L42FC,"JBC 21h.1,L42FC"
42D1,L42C5,JBC,L430E,"JBC 21h.2,L430E"
42F0,L42C5,LJMP,L585F,LJMP L585F
42F3,L42F3,JNB,L42F9,"JNB 28h.7,L42F9"
42F6,L42F3,LCALL,L468A,LCALL L468A
42F9,L42F9,LJMP,L21C9,LJMP L21C9
42FC,L42FC,LCALL,L4648,LCALL L4648
42FF,L42FC,LJMP,L21C9,LJMP L21C9
4302,L4302,LCALL,L467E,LCALL L467E
4305,L4302,LJMP,L21C9,LJMP L21C9
4308,L4308,LCALL,L4600,LCALL L4600
430B,L4308,LJMP,L21C9,LJMP L21C9
430E,L430E,LCALL,L5977,LCALL L5977
431B,L430E,JNB,L432D,"JNB 29h.5,L432D"
4325,L430E,LCALL,L034F,LCALL L034F
432A,L430E,LCALL,L034F,LCALL L034F
432D,L432D,LJMP,L21C9,LJMP L21C9
4330,L4330,LCALL,L5977,LCALL L5977
433A,L4330,LJMP,L21C9,LJMP L21C9
433D,L433D,LCALL,L467E,LCALL L467E
4340,L433D,LJMP,L21C9,LJMP L21C9
4343,L4343,JBC,L43AF,"JBC 21h.3,L43AF"
4346,L4343,JBC,L43AF,"JBC 23h.4,L43AF"
4349,L4343,JBC,L4377,"JBC 20h.7,L4377"
434C,L4343,JBC,L4394,"JBC 21h.1,L4394"
434F,L4343,JBC,L4330,"JBC 21h.2,L4330"
4352,L4343,JBC,L4380,"JBC 21h.4,L4380"
4355,L4343,JBC,L433D,"JBC 21h.6,L433D"
4374,L4343,LJMP,L585F,LJMP L585F
4377,L4377,JNB,L437D,"JNB 28h.7,L437D"
437A,L4377,LCALL,L468A,LCALL L468A
437D,L437D,LJMP,L21C9,LJMP L21C9
4382,L4380,LCALL,L4541,LCALL L4541
4387,L4380,LCALL,L034F,LCALL L034F
438A,L4380,JNB,L4391,"JNB 2Ch.7,L4391"
4391,L4391,LJMP,L21C9,LJMP L21C9
4397,L4394,JBC,L43A6,"JBC 2Dh.7,L43A6"
43A3,L4394,LJMP,L21C9,LJMP L21C9
43A9,L43A6,LCALL,L453A,LCALL L453A
43AC,L43A6,LJMP,L21C9,LJMP L21C9
43AF,L43AF,JB,L43BB,"JB 28h.6,L43BB"
43B5,L43AF,LCALL,L453A,LCALL L453A
43B8,L43AF,LJMP,L21C9,LJMP L21C9
43C3,L43BB,JZ,L43CB,JZ L43CB
43C5,L43BB,LCALL,L45EB,LCALL L45EB
43C8,L43BB,LJMP,L21C9,LJMP L21C9
43D9,L43CB,LCALL,L4921,LCALL L4921
43DC,L43CB,CJNE,L43F7,"CJNE R4,#0FFh,L43F7"
43E1,L43CB,LCALL,L4541,LCALL L4541
43E8,L43CB,LCALL,L034F,LCALL L034F
43F7,L43F7,LJMP,L21C9,LJMP L21C9
43FA,L43FA,JBC,L446C,"JBC 21h.3,L446C"
43FD,L43FA,JBC,L443A,"JBC 21h.2,L443A"
4400,L43FA,JBC,L444E,"JBC 20h.7,L444E"
4403,L43FA,JBC,L4457,"JBC 21h.1,L4457"
4406,L43FA,JBC,L442C,"JBC 22h.3,L442C"
4409,L43FA,JBC,L4466,"JBC 21h.6,L4466"
440C,L43FA,JBC,L4434,"JBC 21h.4,L4434"
4429,L43FA,LJMP,L585F,LJMP L585F
442E,L442C,LCALL,L034F,LCALL L034F
4431,L442C,LJMP,L412E,LJMP L412E
4437,L4434,LJMP,L4380,LJMP L4380
443A,L443A,JNB,L4448,"JNB 2Ah.4,L4448"
4442,L443A,LCALL,L453A,LCALL L453A
4445,L443A,LJMP,L21C9,LJMP L21C9
444B,L4448,LJMP,L43BB,LJMP L43BB
444E,L444E,JNB,L4454,"JNB 28h.7,L4454"
4451,L444E,LCALL,L468A,LCALL L468A
4454,L4454,LJMP,L21C9,LJMP L21C9
445B,L4457,JBC,L4448,"JBC 2Dh.7,L4448"
4463,L4457,LJMP,L21C9,LJMP L21C9
4466,L4466,LCALL,L467E,LCALL L467E
4469,L4466,LJMP,L21C9,LJMP L21C9
446C,L446C,JB,L4475,"JB 28h.6,L4475"
4472,L446C,LJMP,L43CB,LJMP L43CB
4478,L4475,LCALL,L453A,LCALL L453A
447B,L4475,LJMP,L21C9,LJMP L21C9
447E,L447E,LCALL,L467E,LCALL L467E
4481,L447E,LJMP,L21C9,LJMP L21C9
4486,L4484,LCALL,L47B0,LCALL L47B0
4489,L4484,LJMP,L21C9,LJMP L21C9
448C,L448C,LCALL,L475D,LCALL L475D
448F,L448C,LCALL,L4712,LCALL L4712
4492,L448C,LCALL,L5931,LCALL L5931
4495,L448C,LJMP,L21C9,LJMP L21C9
4498,L4498,LCALL,L5937,LCALL L5937
449B,L4498,LCALL,L45B3,LCALL L45B3
44A1,L4498,JNB,L44A7,"JNB 29h.5,L44A7"
44A4,L4498,LJMP,L428A,LJMP L428A
44A7,L44A7,LJMP,L21C9,LJMP L21C9
44AA,L44AA,LCALL,L4600,LCALL L4600
44AD,L44AA,LCALL,L5931,LCALL L5931
44B0,L44AA,LJMP,L21C9,LJMP L21C9
44B3,L44B3,JBC,L44DE,"JBC 21h.4,L44DE"
44B6,L44B3,JBC,L44EA,"JBC 23h.2,L44EA"
44B9,L44B3,JBC,L4501,"JBC 23h.3,L4501"
44BC,L44B3,JBC,L44AA,"JBC 20h.6,L44AA"
44BF,L44B3,JBC,L4484,"JBC 21h.7,L4484"
44C2,L44B3,JBC,L448C,"JBC 22h.0,L448C"
44C5,L44B3,JBC,L4498,"JBC 22h.1,L4498"
44C8,L44B3,JBC,L4510,"JBC 20h.7,L4510"
44CB,L44B3,JBC,L451D,"JBC 21h.1,L451D"
44CE,L44B3,JBC,L447E,"JBC 21h.6,L447E"
44DB,L44B3,LJMP,L585F,LJMP L585F
44E1,L44DE,JB,L44E7,"JB 28h.6,L44E7"
44E7,L44E7,LJMP,L21C9,LJMP L21C9
44EA,L44EA,LCALL,L4770,LCALL L4770
44ED,L44EA,LCALL,L4712,LCALL L4712
44F2,L44EA,LCALL,L5937,LCALL L5937
44F5,L44EA,LCALL,L460F,LCALL L460F
44FB,L44EA,LCALL,L453A,LCALL L453A
44FE,L44EA,LJMP,L21C9,LJMP L21C9
4501,L4501,LCALL,L475D,LCALL L475D
4504,L4501,LCALL,L4712,LCALL L4712
450D,L4501,LJMP,L21C9,LJMP L21C9
4514,L4510,LCALL,L034F,LCALL L034F
451A,L4510,LJMP,L21C9,LJMP L21C9
451F,L451D,LCALL,L034F,LCALL L034F
452B,L451D,LJMP,L21C9,LJMP L21C9
4534,L452E,JNB,L4539,"JNB ACC.6,L4539"
4541,L4541,JB,L4563,"JB 2Ah.0,L4563"
455B,L4541,LCALL,L5964,LCALL L5964
4564,L4564,JB,L4586,"JB 2Ah.0,L4586"
457E,L4564,LCALL,L5964,LCALL L5964
4587,L4587,JB,L459C,"JB 2Ah.0,L459C"
4599,L4587,LCALL,L5964,LCALL L5964
459D,L459D,JB,L45B2,"JB 2Ah.0,L45B2"
45AF,L459D,LCALL,L5964,LCALL L5964
45B3,L45B3,JB,L45B2,"JB 2Ah.0,L45B2"
45C5,L45B3,LCALL,L5964,LCALL L5964
45D0,L45B3,CJNE,L45D6,"CJNE A,#19h,L45D6"
45DF,L45DF,LCALL,L5977,LCALL L5977
45EF,L45EB,CJNE,L45F4,"CJNE A,#0Fh,L45F4"
45F4,L45F4,CJNE,L45F7,"CJNE A,#02h,L45F7"
45F7,L45F7,JNC,L45FB,JNC L45FB
4600,L4600,JNB,L460F,"JNB 28h.6,L460F"
4603,L4600,LCALL,L0577,LCALL L0577
4606,L4600,JB,L4617,"JB 2Ah.0,L4617"
460B,L4600,LCALL,L034F,LCALL L034F
460F,L460F,JB,L4617,"JB 2Ah.0,L4617"
4614,L460F,LCALL,L034F,LCALL L034F
461C,L4618,JNB,L4631,"JNB ACC.0,L4631"
462E,L4618,LCALL,L034F,LCALL L034F
4636,L4632,JB,L4647,"JB ACC.0,L4647"
4644,L4632,LCALL,L034F,LCALL L034F
464E,L4648,LCALL,L034F,LCALL L034F
465C,L4652,JNB,L4667,"JNB ACC.2,L4667"
466B,L4667,JB,L4678,"JB ACC.7,L4678"
466E,L4667,JB,L4672,"JB PSW.1,L4672"
467E,L467E,JNB,L4687,"JNB 29h.0,L4687"
468A,L468A,JNB,L469B,"JNB 28h.7,L469B"
4692,L468D,JB,L469A,"JB 2Ah.0,L469A"
4697,L468D,LCALL,L034F,LCALL L034F
46A4,L46A0,JNB,L46FF,"JNB ACC.1,L46FF"
46A7,L46A0,LCALL,L5977,LCALL L5977
46AA,L46A0,LCALL,L5937,LCALL L5937
46C9,L46A0,JNB,L46E5,"JNB ACC.0,L46E5"
46D4,L46A0,LCALL,L4831,LCALL L4831
46ED,L46E5,LCALL,L0410,LCALL L0410
46F0,L46E5,LCALL,L045A,LCALL L045A
4705,L4700,LCALL,L03CC,LCALL L03CC
470E,L4709,LCALL,L03CC,LCALL L03CC
4712,L4712,JNB,L471F,"JNB 2Ah.6,L471F"
471A,L4712,LCALL,L03CC,LCALL L03CC
4727,L4720,LCALL,L03CC,LCALL L03CC
472F,L472B,LJMP,L03CC,LJMP L03CC
4737,L4732,LJMP,L03CC,LJMP L03CC
473F,L473A,LJMP,L03CC,LJMP L03CC
4747,L4742,LJMP,L03CC,LJMP L03CC
474A,L474A,JB,L475C,"JB 26h.2,L475C"
4751,L474A,JNB,L475C,"JNB ACC.5,L475C"
4762,L475D,LCALL,L03CC,LCALL L03CC
4775,L4770,LCALL,L03CC,LCALL L03CC
477E,L477E,LCALL,L5977,LCALL L5977
4785,L477E,JB,L4797,"JB 2Ch.7,L4797"
4788,L477E,JB,L4797,"JB 28h.6,L4797"
478F,L477E,JNB,L4797,"JNB ACC.6,L4797"
47A7,L4798,JNZ,L47AD,JNZ L47AD
47BF,L47B7,LCALL,L459D,LCALL L459D
47EC,L47D3,CJNE,L481C,"CJNE A,#0Fh,L481C"
47F7,L47EF,LCALL,L0577,LCALL L0577
47FA,L47EF,CJNE,L47FF,"CJNE R5,#30h,L47FF"
4817,L4802,CJNE,L482F,"CJNE A,#0Fh,L482F"
481A,L4802,SJMP,L47EF,SJMP L47EF
481C,L481C,CJNE,L4821,"CJNE R4,#0Ah,L4821"
481F,L481C,SJMP,L47EF,SJMP L47EF
4835,L4831,JNB,L483B,"JNB ACC.3,L483B"
4838,L4831,LJMP,L4871,LJMP L4871
4863,L483B,JNB,L486E,"JNB ACC.1,L486E"
486E,L486E,LJMP,L4979,LJMP L4979
4875,L4871,JB,L48A6,"JB ACC.1,L48A6"
487C,L4871,JNB,L4888,"JNB ACC.5,L4888"
4893,L4888,JNB,L4897,"JNB ACC.5,L4897"
489B,L4897,CJNE,L48A1,"CJNE A,00h,L48A1"
489E,L4897,LJMP,L4979,LJMP L4979
48A1,L48A1,JC,L48A6,JC L48A6
48A3,L48A1,LJMP,L4979,LJMP L4979
48A8,L48A6,LJMP,L4979,LJMP L4979
48B1,L48AB,JNB,L48B7,"JNB ACC.3,L48B7"
48B4,L48AB,LJMP,L48E3,LJMP L48E3
48BD,L48B7,JNB,L48DD,"JNB ACC.1,L48DD"
48C0,L48B7,CJNE,L48D8,"CJNE R0,#00h,L48D8"
48C9,L48B7,CJNE,L48DD,"CJNE A,#05h,L48DD"
48D5,L48B7,LJMP,L4979,LJMP L4979
48DA,L48D8,LJMP,L4979,LJMP L4979
48DD,L48DD,LCALL,L47D3,LCALL L47D3
48E0,L48DD,LJMP,L4979,LJMP L4979
48E9,L48E3,JB,L4900,"JB ACC.1,L4900"
48F0,L48E3,CJNE,L48F8,"CJNE A,00h,L48F8"
48F5,L48E3,LJMP,L4979,LJMP L4979
48F9,L48F8,JNC,L48FD,JNC L48FD
48FD,L48FD,LJMP,L4979,LJMP L4979
4900,L4900,CJNE,L4917,"CJNE R0,#00h,L4917"
490E,L4900,CJNE,L4913,"CJNE A,00h,L4913"
4914,L4913,LJMP,L4979,LJMP L4979
491E,L4917,LJMP,L4979,LJMP L4979
4925,L4921,JNB,L492B,"JNB ACC.3,L492B"
4928,L4921,LJMP,L4959,LJMP L4959
4931,L492B,CJNE,L4946,"CJNE A,#05h,L4946"
4943,L492B,LJMP,L4979,LJMP L4979
